% # columns="iteration, evaluation, sigma, max axis length,  min axis length, all principal axes lengths  (sorted square roots of eigenvalues of C)", seed=161168, Wed Nov 26 12:23:00 2025
43 688 0.06488504855182929 1.5107492054369058 0.7378352703010851 0.7378352703010851 0.7642080757286888 0.7852240386914867 0.7970269366130113 0.8142992205542555 0.8505187559369806 0.8823527767987756 0.8972919788095418 0.906545415344842 0.9392228974705756 0.9578396157011192 0.9683158244359165 0.9784726109773889 1.0069988447023113 1.0226517628021883 1.038031246782529 1.0630329413383106 1.0975989889736923 1.1413109680148705 1.2087445283115206 1.2451205642488041 1.5107492054369058
44 704 0.06470414288087212 1.516218859806207 0.7357975811292226 0.7357975811292226 0.7565725501091739 0.7788904850805767 0.7958678267505324 0.8128799494567635 0.8500271135396705 0.8804114163480364 0.8926299320877449 0.9109032816454543 0.9369428943302093 0.9602581434102756 0.9621896399739728 0.9794751150361485 1.0079222833963228 1.0153001951104825 1.039738601556425 1.069107329443981 1.0974877321237075 1.145896935332875 1.211144771851309 1.2401247800243018 1.516218859806207
45 720 0.06244010372135898 1.5180807250837542 0.7368333122598604 0.7368333122598604 0.7563672019607182 0.7731428349294662 0.790864279836871 0.8088233089132759 0.8475091961208291 0.8806432642179294 0.8866629417078601 0.910188086938095 0.9384543531607329 0.9596280831437916 0.9657729988891763 0.978235094650941 0.993801676742479 1.0086972157347698 1.0466819688745412 1.0655041566922423 1.0967545310858635 1.144051977617145 1.2157581776504836 1.2337744596207916 1.5180807250837542
46 736 0.06061074080478583 1.5149987950925285 0.7332574444136654 0.7332574444136654 0.7508662854615287 0.77157636792463 0.7844432064880906 0.81042486546208 0.8463832335543245 0.874365218087559 0.8795063696261801 0.9026257377051556 0.9355848557871825 0.9557125752958759 0.9658251108282162 0.9808596195802174 0.9880732440730344 1.0093494379776176 1.041750681444829 1.062207795972344 1.0990734497316186 1.142004242329624 1.2136231505205926 1.229202222562341 1.5149987950925285
47 752 0.06115787194656989 1.5111281538868084 0.724939607121429 0.724939607121429 0.7482533667885841 0.7670862005448261 0.7812991965403359 0.8086777126327949 0.8478607407291078 0.87291238289397 0.8744958286216593 0.905881575817629 0.9327155949646766 0.9498888381672624 0.9714379096230609 0.9796251661601104 0.9886975438280513 1.009129379455565 1.0407230120754534 1.0849152090596592 1.0959828308156756 1.1476763149350988 1.1973766577280796 1.220077219062494 1.5111281538868084
48 768 0.0612277650626035 1.5168944871932697 0.7256069781765556 0.7256069781765556 0.7451248194073209 0.766179076068022 0.7766525012304256 0.7973770057849098 0.8408069910585515 0.8696249577460361 0.8785207536833485 0.9067309661770561 0.9323325707850446 0.9441310112765268 0.9685801359632441 0.9790240167894961 0.9896586852635036 1.0189741013015183 1.0567396826776816 1.0897806122264424 1.1130854147275508 1.1465760289298905 1.198634411415014 1.2038395069915262 1.5168944871932697
49 784 0.06354891153200247 1.516662538617838 0.7193760227304782 0.7193760227304782 0.7416402413398021 0.7606911977334297 0.7758473462999558 0.7971577468320802 0.8399223091262821 0.869494384577254 0.8756719429424568 0.9007277175159525 0.9294301887333194 0.9452271696065143 0.9648898529173374 0.9735231599092359 0.9853807961703933 1.0240338616048343 1.0706510275892689 1.0892648591296314 1.1151966282524381 1.1461508088183752 1.190126657853763 1.2093574688322326 1.516662538617838
50 800 0.06413892546742204 1.5103910977962576 0.7145010025906365 0.7145010025906365 0.7361372132595249 0.7565130353355308 0.7679484769418465 0.7981577007296181 0.8379477736657512 0.8596551592719112 0.8742146206720287 0.8996169096030019 0.92646778291429 0.9429973550777634 0.9651565144690154 0.9713269187195998 0.992811131538951 1.0224604519149059 1.0776070979061474 1.0843455896181255 1.1244004504557703 1.1596927058653765 1.1983137849080197 1.2157898673916447 1.5103910977962576
51 816 0.06296050724000611 1.5145800273010392 0.7114564039527562 0.7114564039527562 0.7313774714011262 0.753831079562742 0.7676214837255041 0.7913170737862782 0.8352638238765642 0.8579849544505723 0.8689744267727608 0.8944471633143123 0.9221113825007912 0.9395916020426885 0.9629676348322842 0.9730470419278069 0.9865967178499635 1.023933414741712 1.069032436909387 1.0808252117343884 1.1147705058753943 1.165788421845969 1.21329117281593 1.2195565623847413 1.5145800273010392
52 832 0.061302373485372444 1.5221821951474483 0.7049451977261711 0.7049451977261711 0.7364008473295663 0.7543520123537721 0.7710828463711555 0.7886215316477043 0.833901129065144 0.8541986781734893 0.8653727992594235 0.8920182296098796 0.9250507927950499 0.9406898613300708 0.9652805204484867 0.9756259985879431 0.9834611341296972 1.0087537749136095 1.0674241693301152 1.0862736683985688 1.1192978518689485 1.1644650303827009 1.209426873067051 1.2343292216766166 1.5221821951474483
53 848 0.061683660637008975 1.5186513826223444 0.7043663602618018 0.7043663602618018 0.7340187771139036 0.7559654295165235 0.7683706311755274 0.7989230915207499 0.8326924561240464 0.8447396262036287 0.8671813748009285 0.8911761542779523 0.9205054851037792 0.9353164816195414 0.9640425759526446 0.9682451820196454 0.9807594348852144 1.010873858342079 1.0706930896065425 1.0826742825316094 1.1209180322024788 1.1584642330781687 1.2056258322227607 1.2410419525473604 1.5186513826223444
54 864 0.06315095117332138 1.511898578291773 0.7012699586483069 0.7012699586483069 0.7230366447285235 0.7556763895927558 0.7691448647159878 0.818196838822216 0.8304697460027243 0.8429845567252928 0.8681911610623282 0.8939504122297127 0.9181465927377283 0.9345580471733518 0.9624657213089315 0.9651293642131283 0.9825705108641458 1.008679668929995 1.0626914462232415 1.0690349243500668 1.1172704513392693 1.1557081402854752 1.2077707253171273 1.2489678512675946 1.511898578291773
55 880 0.06477114645551703 1.5023619295018142 0.6939139030275238 0.6939139030275238 0.727153946046941 0.7532253876008503 0.7704916366755887 0.8204217959522008 0.8235126444456845 0.8428952695197867 0.864034699416352 0.8845177855862807 0.9156144960842607 0.9225230072702705 0.9548821158160558 0.9623066965801215 0.9896268563726615 1.0104450685478368 1.064601722129113 1.0722821618564784 1.1175213431016437 1.1477354969030447 1.2022929932136122 1.28030036885591 1.5023619295018142
56 896 0.06510839112520536 1.5029668211318072 0.691641096413226 0.691641096413226 0.7245003779785771 0.7512919668942482 0.76385463040994 0.8181649573325978 0.8240518976851912 0.852366777923437 0.8662859567507585 0.8852233714623765 0.9065432590399675 0.9224825559625475 0.9489922112011403 0.96898103732479 0.9892071705383113 1.0167974318522757 1.0500905923758688 1.0748403366075656 1.1143137036268596 1.1674754667684328 1.1979348693047591 1.314889683497765 1.5029668211318072
57 912 0.06432527239166834 1.5086897253449636 0.6854349689087277 0.6854349689087277 0.7196754428653017 0.7422731361583205 0.7706188500950207 0.8183966865313291 0.8193683759178769 0.8473748652903222 0.8649793055374609 0.8849724678054471 0.912711726601505 0.9249430356717682 0.9415944121328504 0.9637035533373991 0.9955633453258408 1.0059735731628323 1.0512589389752287 1.0730615593825177 1.1074148890766728 1.153607005556547 1.2039897193640683 1.339411028237188 1.5086897253449636
58 928 0.062164402534674076 1.5074520354312033 0.6825868054389548 0.6825868054389548 0.7152318074970577 0.7315954250978913 0.7728596823601653 0.8076519125591172 0.8165061881039611 0.8464742022540436 0.8631443080222775 0.8839055109932141 0.9104864639981705 0.926358854365958 0.9450696504009011 0.9606918139531652 0.991678717507898 1.0049926012543284 1.0558005039189828 1.0663804417346072 1.112545575974871 1.1576015322479836 1.201306549327166 1.3333078242730647 1.5074520354312033
59 944 0.06011498988235381 1.5120721625802427 0.678510968566585 0.678510968566585 0.7166967476523531 0.7259793525712435 0.7702347281286442 0.803056069578511 0.8163533897545914 0.8432514718583738 0.8610487386731733 0.8695778133390603 0.9071108889721573 0.931432659924017 0.9472893979866283 0.9582960847989078 0.9923612710531247 1.0086521960631678 1.0541444420945874 1.0640333138948859 1.1011913105179858 1.1551777618388697 1.1964049748129917 1.3362524140160534 1.5120721625802427
60 960 0.05683955622645509 1.5092993917179596 0.6713698278055931 0.6713698278055931 0.720110617637428 0.7255874222975234 0.7599719020611766 0.7994725783548483 0.8192485206152591 0.8396803720192023 0.8558828050965804 0.8673168942211721 0.9100615722597238 0.9306697992568558 0.9498119421919391 0.9638005029755474 0.9915557826365015 1.00642325058292 1.049480332427184 1.064230361700906 1.0919110276856445 1.1471497134423245 1.1997820272550208 1.3424320659763698 1.5092993917179596
